"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-26.01375,0.0,-26.01375
-18.731554,1.1e-05,-18.731554
-23.994827,1.3e-05,-23.994827
-23.982559,0.000127,-23.982559
-23.256571,2.8e-05,-23.256571
-32.915344,1.3e-05,-32.915344
-24.53698,0.000136,-24.53698
-29.219664,0.000175,-29.219664
-28.841444,0.000337,-28.841444
-28.295872,0.000197,-28.295872
-26.287361,0.033886,-26.287361
13.946137,0.13325,13.946137
36.74614,0.233277,36.74614
58.34621,0.332807,58.34621
74.388474,0.432661,74.388474
75.596222,0.532153,75.596222
94.03968,0.63169,94.03968
94.864365,0.730817,94.864365
99.622658,0.830146,99.622658
103.974754,0.929304,103.974754
98.086708,1.028456,98.086708
112.104507,1.127021,112.104507
109.187691,1.225976,109.187691
111.31385,1.324657,111.31385
113.723083,1.423289,113.723083
105.932022,1.521873,105.932022
118.279869,1.620256,118.279869
114.165047,1.718666,114.165047
115.113731,1.817003,115.113731
116.634125,1.915091,116.634125
108.194839,2.013188,108.194839
119.813034,2.11098,119.813034
115.228645,2.208869,115.228645
115.873367,2.306628,115.873367
116.958076,2.404255,116.958076
108.234024,2.501897,108.234024
119.427338,2.599506,119.427338
114.863632,2.696878,114.863632
115.185303,2.79429,115.185303
116.244019,2.891376,116.244019
107.288498,2.988523,107.288498
118.048637,3.085392,118.048637
113.368004,3.182298,113.368004
113.450111,3.278981,113.450111
114.544365,3.375893,114.544365
105.439163,3.472473,105.439163
116.157455,3.568936,116.157455
111.679665,3.665521,111.679665
111.928329,3.76183,111.928329
112.90049,3.858183,112.90049
103.770187,3.954233,103.770187
114.50074,4.050282,114.50074
109.850464,4.146395,109.850464
110.034538,4.242169,110.034538
110.809669,4.337842,110.809669
102.145897,4.433859,102.145897
112.431938,4.529346,112.431938
107.789352,4.624888,107.789352
107.703651,4.720273,107.703651
108.409981,4.815881,108.409981
99.519432,4.910788,99.519432
109.874382,5.006158,109.874382
105.116081,5.101143,105.116081
105.565521,5.196061,105.565521
106.439438,5.291195,106.439438
97.344643,5.385788,97.344643
107.559784,5.480563,107.559784
103.271179,5.575181,103.271179
103.904312,5.669738,103.904312
104.767143,5.76416,104.767143
95.967392,5.858478,95.967392
106.301178,5.95278,106.301178
101.891747,6.046859,101.891747
102.144524,6.140995,102.144524
103.077286,6.234966,103.077286
94.166206,6.328822,94.166206
104.300903,6.42277,104.300903
99.79422,6.516508,99.79422
100.318802,6.610149,100.318802
101.237854,6.703694,101.237854
92.249504,6.797316,92.249504
102.216743,6.890555,102.216743
98.033157,6.983748,98.033157
98.705429,7.077035,98.705429
99.83918,7.170162,99.83918
90.860527,7.263174,90.860527
100.797012,7.356122,100.797012
96.282089,7.449063,96.282089
96.696564,7.54177,96.696564
97.960045,7.634546,97.960045
88.919655,7.727156,88.919655
98.864494,7.819749,98.864494
94.605484,7.91206,94.605484
95.212296,8.004525,95.212296
96.477104,8.096881,96.477104
87.540833,8.189062,87.540833
97.391876,8.281163,97.391876
93.305565,8.373115,93.305565
93.822739,8.464956,93.822739
95.060036,8.556776,95.060036
86.356544,8.64841,86.356544
95.979424,8.740142,95.979424
91.883919,8.831675,91.883919
92.262489,8.923143,92.262489
93.510193,9.014583,93.510193
84.704674,9.106,84.704674
94.339516,9.19729,94.339516
90.453827,9.288458,90.453827
90.870972,9.379603,90.870972
92.091545,9.470572,92.091545
83.182434,9.561411,83.182434
92.61145,9.652326,92.61145
88.695007,9.743115,88.695007
89.479202,9.833733,89.479202
90.646828,9.924123,90.646828
82.180771,10.014797,82.180771
91.582542,10.105235,91.582542
87.844238,10.195559,87.844238
88.40403,10.285866,88.40403
89.66803,10.376118,89.66803
81.06131,10.466244,81.06131
90.183838,10.556241,90.183838
85.97036,10.646211,85.97036
86.650223,10.735984,86.650223
88.074394,10.825941,88.074394
79.247475,10.915545,79.247475
88.711967,11.005095,88.711967
85.133141,11.094786,85.133141
85.659081,11.184243,85.659081
87.074593,11.273474,87.074593
78.260811,11.362902,78.260811
87.471741,11.451886,87.471741
83.985016,11.541108,83.985016
84.518204,11.630215,84.518204
85.864616,11.719134,85.864616
77.059029,11.808103,77.059029
86.158791,11.89696,86.158791
82.209236,11.985669,82.209236
82.857834,12.074408,82.857834
83.987732,12.162923,83.987732
75.36441,12.251496,75.36441
84.639946,12.339775,84.639946
80.840607,12.42822,80.840607
81.431648,12.516428,81.431648
82.79509,12.604726,82.79509
74.27787,12.692852,74.27787
83.285118,12.780829,83.285118
79.731651,12.868824,79.731651
80.4207,12.956732,80.4207
81.276665,13.044573,81.276665
72.858795,13.132201,72.858795
