"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-0.587389,0.0,-0.587389
-0.593864,0.000161,-0.593864
-1.011424,2.6e-05,-1.011424
-0.347669,0.000414,-0.347669
-0.485243,5.1e-05,-0.485243
-0.604324,4e-06,-0.604324
-0.639004,0.0,-0.639004
-0.621373,7e-06,-0.621373
-0.592625,0.0,-0.592625
-0.588852,4e-06,-0.588852
-0.567874,7e-06,-0.567874
-0.801714,1.8e-05,-0.801714
-0.605225,2.2e-05,-0.605225
-0.549406,7e-06,-0.549406
-0.675517,0.000253,-0.675517
-0.646401,0.000308,-0.646401
-0.662135,0.000569,-0.662135
-0.652709,1.1e-05,-0.652709
-0.500498,0.004464,-0.500498
4.561644,0.099335,4.561644
10.575907,0.227332,10.575907
14.718102,0.355608,14.718102
18.53503,0.483742,18.53503
20.754311,0.611067,20.754311
22.538769,0.738531,22.538769
23.993156,0.865467,23.993156
25.192829,0.992466,25.192829
26.24748,1.119102,26.24748
27.118023,1.245446,27.118023
27.853817,1.372135,27.853817
28.389893,1.498782,28.389893
28.835407,1.624605,28.835407
29.70533,1.750453,29.70533
29.976107,1.876281,29.976107
30.284805,2.002083,30.284805
30.561174,2.127397,30.561174
30.841818,2.252869,30.841818
31.129244,2.378059,31.129244
31.331202,2.50325,31.331202
31.527908,2.627991,31.527908
31.418552,2.752741,31.418552
31.995419,2.87719,31.995419
32.05872,3.001722,32.05872
32.087318,3.125684,32.087318
32.183575,3.25023,32.183575
32.305984,3.374076,32.305984
32.347286,3.497849,32.347286
32.465843,3.621258,32.465843
32.521118,3.744959,32.521118
32.580296,3.868148,32.580296
32.278328,3.99146,32.278328
33.028809,4.114128,33.028809
32.823692,4.237256,32.823692
32.859131,4.359693,32.859131
32.866943,4.482429,32.866943
32.994694,4.604678,32.994694
33.018661,4.727205,33.018661
33.059227,4.849518,33.059227
33.086754,4.971153,33.086754
32.980366,5.092988,32.980366
33.203075,5.214702,33.203075
33.349976,5.336401,33.349976
33.326035,5.457931,33.326035
33.317429,5.579014,33.317429
33.350864,5.700098,33.350864
33.346069,5.82102,33.346069
33.406868,5.942011,33.406868
33.428467,6.062435,33.428467
33.494259,6.18292,33.494259
33.16209,6.303392,33.16209
33.700172,6.423918,33.700172
33.583767,6.543262,33.583767
33.614094,6.663725,33.614094
33.588833,6.783365,33.588833
33.629448,6.902808,33.629448
33.627151,7.022751,33.627151
33.664303,7.14169,33.664303
33.694084,7.260951,33.694084
33.703636,7.380139,33.703636
33.501102,7.499021,33.501102
34.04134,7.61787,34.04134
33.838596,7.736416,33.838596
33.830872,7.855154,33.830872
33.846294,7.973501,33.846294
33.926586,8.091374,33.926586
33.93594,8.209753,33.93594
33.948997,8.327843,33.948997
33.946743,8.445314,33.946743
33.746006,8.56283,33.746006
34.140057,8.680584,34.140057
34.144279,8.798032,34.144279
34.035675,8.915422,34.035675
34.087276,9.03222,34.087276
34.142406,9.149308,34.142406
34.121735,9.266101,34.121735
34.13245,9.383151,34.13245
34.14069,9.498997,34.14069
34.211971,9.615907,34.211971
33.827351,9.732222,33.827351
34.5275,9.848363,34.5275
34.326443,9.964526,34.326443
34.292896,10.080364,34.292896
34.320858,10.196061,34.320858
34.280987,10.311823,34.280987
34.334621,10.427042,34.334621
34.322845,10.542478,34.322845
34.330231,10.657977,34.330231
34.207996,10.772758,34.207996
34.339123,10.887848,34.339123
34.564053,11.002831,34.564053
34.407322,11.117454,34.407322
34.435131,11.23161,34.435131
34.489304,11.346554,34.489304
34.482807,11.46073,34.482807
34.534042,11.574874,34.534042
34.533852,11.689026,34.533852
34.566441,11.802877,34.566441
34.249115,11.916692,34.249115
34.758926,12.030362,34.758926
34.639046,12.143761,34.639046
34.604992,12.257382,34.604992
34.590977,12.370564,34.590977
34.566345,12.483888,34.566345
34.618374,12.596464,34.618374
34.700706,12.709714,34.700706
34.692631,12.822385,34.692631
34.70858,12.935225,34.70858
34.326355,13.047055,34.326355
35.058537,13.15979,35.058537
34.8148,13.272193,34.8148
34.769329,13.383962,34.769329
34.789803,13.495881,34.789803
34.798923,13.607766,34.798923
34.820953,13.719719,34.820953
34.794537,13.831481,34.794537
34.821529,13.942876,34.821529
34.572624,14.054153,34.572624
34.944862,14.16551,34.944862
34.979221,14.276662,34.979221
34.923096,14.387626,34.923096
34.875038,14.498905,34.875038
34.908726,14.609072,34.908726
34.88773,14.720396,34.88773
34.929062,14.830687,34.929062
34.937099,14.940961,34.937099
34.989746,15.051235,34.989746
34.604897,15.161287,34.604897
35.238964,15.271375,35.238964
35.062836,15.381278,35.062836
35.066036,15.491107,35.066036
35.025517,15.600889,35.025517
35.049168,15.710263,35.049168
35.029179,15.819648,35.029179
35.069908,15.929076,35.069908
35.058331,16.038391,35.058331
34.962097,16.147364,34.962097
34.915012,16.256071,34.915012
35.286449,16.365074,35.286449
35.176464,16.47394,35.176464
35.166679,16.582361,35.166679
35.150398,16.690979,35.150398
35.171764,16.799379,35.171764
35.199501,16.90769,35.199501
35.244144,17.015539,35.244144
35.224277,17.123589,35.224277
34.85347,17.2316,34.85347
35.413666,17.339188,35.413666
35.285328,17.446985,35.285328
35.277172,17.554089,35.277172
35.281826,17.662067,35.281826
35.25396,17.769314,35.25396
35.260868,17.876234,35.260868
35.272163,17.983459,35.272163
35.318649,18.090326,35.318649
35.342033,18.197672,35.342033
34.874142,18.303871,34.874142
35.700363,18.410532,35.700363
35.373798,18.517498,35.373798
35.402714,18.62368,35.402714
35.325157,18.730274,35.325157
35.356594,18.835873,35.356594
35.417084,18.942385,35.417084
35.38781,19.048481,35.38781
35.437702,19.154217,35.437702
35.151051,19.259521,35.151051
35.455452,19.365421,35.455452
35.566628,19.470877,35.566628
35.525665,19.576088,35.525665
35.481323,19.681509,35.481323
35.529217,19.786776,35.529217
35.550415,19.891943,35.550415
35.545509,19.996588,35.545509
35.548058,20.101555,35.548058
35.568729,20.206339,35.568729
35.1548,20.311092,35.1548
35.772179,20.415783,35.772179
35.628113,20.519657,35.628113
35.515591,20.624304,35.515591
35.511967,20.72838,35.511967
35.530933,20.832703,35.530933
35.58065,20.936468,35.58065
35.558491,21.040234,35.558491
35.618526,21.144188,35.618526
35.541847,21.247612,35.541847
35.388622,21.351299,35.388622
35.867172,21.454464,35.867172
35.725582,21.558134,35.725582
35.672077,21.661222,35.672077
35.659504,21.764109,35.659504
35.658371,21.866941,35.658371
35.635876,21.970312,35.635876
35.722897,22.072927,35.722897
35.695415,22.175468,35.695415
35.34161,22.278109,35.34161
35.869991,22.380838,35.869991
35.802647,22.48312,35.802647
35.817795,22.585449,35.817795
35.756676,22.687458,35.756676
35.757034,22.789698,35.757034
35.77282,22.891558,35.77282
35.765938,22.99332,35.765938
35.811619,23.095247,35.811619
35.793606,23.197008,35.793606
35.399555,23.298443,35.399555
36.125744,23.399513,36.125744
35.8605,23.50086,35.8605
35.848907,23.602272,35.848907
35.838692,23.703564,35.838692
35.845379,23.804047,35.845379
35.8899,23.90514,35.8899
35.912785,24.006224,35.912785
35.892155,24.107025,35.892155
35.640652,24.207514,35.640652
35.88628,24.307798,35.88628
36.072041,24.408583,36.072041
35.98444,24.508482,35.98444
35.982151,24.608994,35.982151
35.995895,24.709286,35.995895
35.98608,24.809006,35.98608
36.025379,24.908865,36.025379
35.981426,25.008793,35.981426
35.995178,25.108503,35.995178
35.563179,25.208294,35.563179
36.261608,25.30761,36.261608
36.087986,25.407152,36.087986
36.060028,25.506229,36.060028
35.995163,25.605692,35.995163
36.095158,25.70459,36.095158
36.107773,25.803583,36.107773
36.099964,25.902624,36.099964
36.118877,26.001488,36.118877
36.100685,26.100092,36.100685
35.709644,26.198782,35.709644
36.438454,26.29748,36.438454
36.148865,26.395937,36.148865
36.091629,26.494385,36.091629
36.095333,26.5923,36.095333
36.137444,26.690823,36.137444
36.126114,26.789143,36.126114
36.167778,26.886866,36.167778
36.12965,26.984516,36.12965
35.809612,27.082335,35.809612
36.296783,27.179995,36.296783
36.298645,27.27746,36.298645
36.226555,27.375084,36.226555
36.210064,27.472485,36.210064
36.251122,27.569601,36.251122
36.221252,27.667007,36.221252
36.206329,27.764048,36.206329
36.217144,27.861042,36.217144
36.22757,27.957781,36.22757
35.773918,28.054607,35.773918
36.562759,28.151445,36.562759
36.306622,28.2484,36.306622
36.29353,28.344538,36.29353
36.286205,28.441113,36.286205
36.227757,28.537443,36.227757
36.285675,28.633707,36.285675
36.243797,28.729872,36.243797
36.310368,28.825953,36.310368
36.115429,28.921875,36.115429
36.219917,29.017712,36.219917
36.513206,29.113605,36.513206
36.347416,29.209244,36.347416
36.273346,29.304888,36.273346
36.314976,29.400333,36.314976
36.244316,29.496132,36.244316
36.283054,29.591206,36.283054
36.306118,29.686462,36.306118
36.291245,29.781425,36.291245
35.88591,29.876743,35.88591
36.530521,29.971668,36.530521
36.377232,30.06658,36.377232
36.305786,30.161379,36.305786
36.303761,30.256086,36.303761
36.308914,30.350845,36.308914
36.318295,30.4452,36.318295
36.327866,30.539652,36.327866
36.328861,30.63402,36.328861
36.343208,30.728388,36.343208
35.789909,30.822556,35.789909
36.692032,30.916628,36.692032
36.38308,31.010674,36.38308
36.303284,31.104719,36.303284
36.305573,31.198381,36.305573
36.283867,31.292164,36.283867
36.316658,31.385635,36.316658
36.304413,31.479239,36.304413
36.34581,31.57267,36.34581
36.042118,31.666241,36.042118
36.379684,31.759489,36.379684
36.465275,31.852688,36.465275
36.399216,31.945604,36.399216
36.386578,32.038845,36.386578
36.370747,32.131992,36.370747
36.332821,32.224815,36.332821
36.28767,32.317486,36.28767
36.311371,32.41016,36.311371
36.30283,32.502991,36.30283
35.876556,32.595299,35.876556
36.615818,32.687702,36.615818
36.378239,32.780041,36.378239
36.395077,32.872173,36.395077
36.365425,32.964462,36.365425
36.327858,33.056423,36.327858
36.341003,33.148621,36.341003
36.340645,33.24036,36.340645
36.304657,33.332329,36.304657
36.137081,33.424076,36.137081
36.072544,33.515999,36.072544
36.571255,33.607323,36.571255
36.390881,33.698917,36.390881
36.268661,33.790287,36.268661
36.288219,33.881771,36.288219
36.288982,33.973259,36.288982
36.230907,34.064095,36.230907
36.243782,34.155411,36.243782
36.277748,34.246292,36.277748
35.907375,34.337036,35.907375
36.492348,34.427952,36.492348
36.342873,34.518661,36.342873
36.313957,34.609474,36.313957
36.313999,34.699921,36.313999
36.277088,34.790386,36.277088
36.234726,34.881073,36.234726
36.259258,34.970875,36.259258
36.246208,35.061848,36.246208
36.249561,35.151791,36.249561
35.716312,35.241478,35.716312
36.56665,35.332066,36.56665
36.254044,35.421921,36.254044
36.194305,35.511669,36.194305
36.202255,35.601467,36.202255
36.184814,35.691204,36.184814
36.206398,35.780891,36.206398
36.22168,35.870018,36.22168
36.220131,35.960049,36.220131
35.948536,36.049095,35.948536
36.240318,36.138565,36.240318
36.365803,36.227352,36.365803
36.255215,36.316624,36.255215
36.204338,36.405937,36.204338
36.18932,36.494747,36.18932
36.239578,36.583744,36.239578
36.191063,36.67255,36.191063
36.172314,36.761272,36.172314
36.147789,36.849831,36.147789
35.719715,36.938717,35.719715
36.412815,37.026855,36.412815
36.246616,37.115639,36.246616
36.142445,37.203976,36.142445
36.149693,37.291851,36.149693
36.097546,37.38036,36.097546
36.094707,37.468544,36.094707
36.078079,37.556637,36.078079
36.12521,37.644577,36.12521
36.015194,37.732128,36.015194
35.764961,37.820305,35.764961
36.425278,37.907902,36.425278
36.111649,37.995396,36.111649
36.080135,38.083244,36.080135
36.070175,38.170654,36.070175
36.04113,38.258179,36.04113
36.082668,38.345211,36.082668
36.028805,38.432533,36.028805
36.052849,38.519878,36.052849
35.688744,38.606819,35.688744
36.254406,38.69392,36.254406
36.182999,38.780907,36.182999
36.077042,38.867886,36.077042
36.007759,38.954746,36.007759
36.046295,39.041386,36.046295
35.995102,39.127995,35.995102
35.931564,39.214653,35.931564
36.001522,39.301373,36.001522
35.934166,39.38776,35.934166
35.41684,39.474083,35.41684
36.262005,39.560226,36.262005
36.058186,39.646446,36.058186
35.94149,39.732674,35.94149
35.899738,39.818684,35.899738
35.91407,39.904522,35.91407
35.909794,39.990704,35.909794
35.88979,40.076237,35.88979
35.921661,40.162098,35.921661
