"True Stress, MPa","True Strain, %"
0.146328,0.0
-0.478091,6e-06
-0.329073,0.000155
-0.578977,0.000131
-0.647027,0.000215
-0.473108,0.00025
-0.820806,6.9e-05
-0.871113,9.2e-05
-0.585439,0.000167
-1.045638,0.000149
-1.05116,1.8e-05
-1.008338,0.00014
-0.827898,9.8e-05
-1.186971,0.000134
-1.441096,0.000107
-1.193506,0.000244
-0.981728,0.000173
-0.998336,0.000194
-1.232708,0.000131
0.756151,0.005981
31.988819,0.089102
64.319595,0.193251
87.714989,0.297853
104.643532,0.401566
116.629967,0.505138
126.257713,0.608624
134.006943,0.712145
140.436325,0.815281
145.880096,0.91852
150.522339,1.021659
154.153854,1.124665
157.56192,1.227485
160.35379,1.330356
162.782639,1.432989
165.075623,1.535658
166.930542,1.63823
168.46521,1.740486
169.608566,1.842731
170.698273,1.945006
171.618652,2.047002
172.738892,2.148777
173.712875,2.25064
174.4729,2.352293
175.179977,2.453929
175.955353,2.555523
176.336884,2.656936
176.89537,2.758229
177.19577,2.859512
177.555817,2.960527
177.915863,3.061611
178.155563,3.162567
178.535767,3.263239
178.685608,3.364145
178.943039,3.464626
179.212631,3.565127
179.554184,3.665548
179.572189,3.765899
179.837265,3.866021
180.187241,3.966074
180.023453,4.065981
180.255295,4.16592
180.593796,4.265773
180.465958,4.365324
180.372925,4.465031
180.506973,4.564583
180.725113,4.663946
180.99826,4.763175
181.361252,4.862475
181.542282,4.961581
181.61261,5.060661
181.619598,5.159484
181.773849,5.25839
181.547958,5.357043
181.965652,5.455715
182.055252,5.55418
182.12204,5.652699
182.126724,5.75088
182.219391,5.849108
182.27951,5.947254
182.606934,6.045258
182.355331,6.143253
182.615173,6.241004
182.691315,6.338724
182.794922,6.43641
182.889893,6.533965
182.920853,6.631444
182.972275,6.728813
183.044556,6.8261
183.005936,6.923344
182.777374,7.02037
183.246246,7.117303
183.434525,7.214398
183.561371,7.311128
183.604416,7.407863
183.421631,7.504489
183.57225,7.601043
183.577118,7.697573
183.660736,7.793859
183.724121,7.889986
183.797684,7.986227
183.824844,8.082119
184.003433,8.178222
184.008072,8.274035
183.823227,8.369723
184.113968,8.465471
183.987045,8.561121
184.187912,8.656557
184.35463,8.752077
184.119705,8.847233
184.419235,8.94265
184.266403,9.037819
184.550461,9.132798
184.153336,9.227835
184.2146,9.322631
184.289001,9.417404
184.490204,9.512121
184.67572,9.606716
184.880508,9.701203
184.998932,9.79567
185.031647,9.889999
184.938263,9.984179
184.980499,10.078354
184.846191,10.172471
184.875824,10.266391
185.041016,10.360338
185.038727,10.454068
184.862,10.547956
185.020813,10.641567
184.899429,10.735218
185.129669,10.828535
185.218445,10.921903
185.184738,11.015231
185.187744,11.108411
185.422394,11.201507
185.354156,11.294579
185.496078,11.387466
185.351196,11.480372
185.134766,11.572942
185.015991,11.665751
184.947495,11.758259
185.526321,11.850831
185.348114,11.94314
185.4496,12.035642
185.490051,12.127786
185.572784,12.220027
185.578415,12.312137
185.676468,12.404216
185.677994,12.496039
185.638107,12.587939
185.890091,12.679676
185.72699,12.77136
185.875809,12.862956
185.671967,12.954449
185.695267,13.045918
185.558197,13.137269
185.378952,13.228376
185.509201,13.319514
185.497681,13.410575
185.621872,13.501537
185.789413,13.592468
185.758377,13.683314
185.570709,13.774032
185.512939,13.864631
185.575821,13.955222
185.481369,14.045659
186.017075,14.136175
185.877441,14.226428
185.99379,14.316858
185.929245,14.406966
185.952362,14.497014
185.85498,14.587071
185.817139,14.676993
186.018127,14.766854
185.964966,14.85664
185.834763,14.946152
185.882477,15.035842
185.879562,15.125332
185.85228,15.214806
186.117035,15.304209
185.830322,15.393436
185.890121,15.482743
185.847748,15.571948
186.082199,15.660894
185.770828,15.749821
185.967804,15.838805
185.778275,15.927675
185.852371,16.016319
185.558426,16.105036
185.245712,16.193571
185.643082,16.282084
186.079941,16.370455
186.155411,16.458847
186.033585,16.547031
186.288727,16.635214
185.925629,16.723263
186.126038,16.811228
186.09375,16.899334
185.922363,16.987152
186.040878,17.074842
185.862122,17.162701
185.992264,17.250319
185.798889,17.337851
185.782883,17.425308
185.863953,17.512766
185.956665,17.600183
185.924057,17.687445
185.850113,17.77457
185.742233,17.861759
186.155548,17.948793
186.164474,18.035786
186.210968,18.122599
185.93692,18.209452
185.485001,18.296167
185.558609,18.382853
185.846542,18.469358
185.910355,18.555813
186.417435,18.642191
186.4095,18.728573
186.208313,18.814856
186.372192,18.901052
186.031281,18.987154
186.350861,19.073195
186.408951,19.159195
186.192093,19.245279
186.14299,19.330965
186.402573,19.416826
186.327591,19.502539
186.152115,19.588125
186.011246,19.673662
186.172455,19.759157
186.151993,19.844572
186.268509,19.929882
186.357071,20.015028
186.588776,20.100262
186.498917,20.185354
186.699768,20.27042
186.165115,20.35537
186.079056,20.440216
186.260254,20.524961
186.439484,20.609816
186.575043,20.694424
186.841736,20.779057
186.487366,20.863714
186.630463,20.948069
186.316437,21.032482
186.466415,21.116705
186.418137,21.201035
186.530182,21.285152
186.615189,21.369221
186.381287,21.453356
186.695709,21.537081
186.653717,21.62112
186.550964,21.704931
186.67746,21.788691
186.630142,21.872385
186.422729,21.956051
186.617798,22.039545
186.758118,22.123001
186.69873,22.206425
186.638046,22.289759
186.407318,22.37303
186.315445,22.456274
185.914612,22.539339
186.185974,22.622448
