"True Stress, MPa","True Strain, %","True Stress, MPa.1"
-8.649515,0.0,-8.649515
-9.18372,0.00011,-9.18372
-8.594751,4.8e-05,-8.594751
-8.507231,0.000113,-8.507231
-8.502399,8e-05,-8.502399
-8.354072,6.6e-05,-8.354072
-8.489893,6.9e-05,-8.489893
-8.479363,0.000101,-8.479363
-8.496983,0.000107,-8.496983
-8.328832,3.3e-05,-8.328832
-8.640529,0.000146,-8.640529
-8.322701,0.000146,-8.322701
-8.369778,4.8e-05,-8.369778
-8.617344,0.000161,-8.617344
-8.380123,3.6e-05,-8.380123
-8.307478,0.00017,-8.307478
-8.4195,0.000113,-8.4195
-8.240155,6.3e-05,-8.240155
-8.319205,0.00011,-8.319205
-8.433995,9.5e-05,-8.433995
3.040487,0.035959,3.040487
35.986748,0.137893,35.986748
64.092293,0.242422,64.092293
86.193153,0.346821,86.193153
102.743637,0.450584,102.743637
114.749535,0.554132,114.749535
124.077492,0.657473,124.077492
131.485214,0.760866,131.485214
137.862595,0.864085,137.862595
143.105942,0.967159,143.105942
147.612274,1.070277,147.612274
151.315994,1.173256,151.315994
154.740463,1.276033,154.740463
157.486679,1.378692,157.486679
159.902481,1.48122,159.902481
162.092712,1.583827,162.092712
163.756516,1.686347,163.756516
165.334686,1.788644,165.334686
166.53775,1.890744,166.53775
168.062622,1.992961,168.062622
169.038986,2.094966,169.038986
169.802032,2.19673,169.802032
170.934052,2.298583,170.934052
171.831589,2.400207,171.831589
172.566788,2.501801,172.566788
172.949707,2.603073,172.949707
173.845444,2.704627,173.845444
173.995438,2.80568,173.995438
174.495331,2.906909,174.495331
174.952606,3.007951,174.952606
175.302399,3.10891,175.302399
175.596436,3.209829,175.596436
176.070526,3.310512,176.070526
176.11647,3.41118,176.11647
176.534698,3.511921,176.534698
176.917694,3.612326,176.917694
177.117142,3.71278,177.117142
177.156708,3.812871,177.156708
177.81337,3.913084,177.81337
177.712326,4.01313,177.712326
178.134567,4.113076,178.134567
178.377319,4.212924,178.377319
178.554565,4.312572,178.554565
178.747238,4.412282,178.747238
178.683716,4.511736,178.683716
178.947525,4.611097,178.947525
179.165283,4.710629,179.165283
179.238327,4.809855,179.238327
179.420242,4.90883,179.420242
179.756607,5.008078,179.756607
179.679977,5.107029,179.679977
179.892548,5.205659,179.892548
180.094086,5.304672,180.094086
180.167999,5.403334,180.167999
180.044785,5.501839,180.044785
180.505447,5.600334,180.505447
180.356354,5.698875,180.356354
180.445496,5.796997,180.445496
180.706116,5.895234,180.706116
180.704773,5.993415,180.704773
180.868469,6.091343,180.868469
180.954758,6.189103,180.954758
181.289093,6.286966,181.289093
181.074753,6.384669,181.074753
181.639801,6.482268,181.639801
181.636307,6.579878,181.636307
181.823044,6.677162,181.823044
181.912277,6.774576,181.912277
181.959793,6.871835,181.959793
182.009201,6.968966,182.009201
181.874908,7.065866,181.874908
181.976395,7.162966,181.976395
182.115189,7.259784,182.115189
182.191284,7.356619,182.191284
182.446655,7.453189,182.446655
182.412155,7.549832,182.412155
182.464478,7.646317,182.464478
182.543839,7.742666,182.543839
182.559158,7.839007,182.559158
182.671341,7.935176,182.671341
182.719711,8.031236,182.719711
182.908813,8.127198,182.908813
182.85054,8.223014,182.85054
183.230377,8.318891,183.230377
183.584091,8.414647,183.584091
183.602707,8.510145,183.602707
183.4823,8.605826,183.4823
183.61554,8.701177,183.61554
183.610352,8.796594,183.610352
183.933914,8.891846,183.933914
183.820312,8.986992,183.820312
183.875992,9.082189,183.875992
183.997177,9.177199,183.997177
184.027832,9.272243,184.027832
184.098404,9.366899,184.098404
184.271423,9.461863,184.271423
184.292755,9.556455,184.292755
184.411407,9.650865,184.411407
184.512955,9.745453,184.512955
184.651794,9.839775,184.651794
184.672028,9.934172,184.672028
184.567993,10.028382,184.567993
184.764053,10.122366,184.764053
184.856522,10.216425,184.856522
184.915985,10.310489,184.915985
184.605301,10.404209,184.605301
184.76113900000001,10.497999,184.76113900000001
185.02507,10.59164,185.02507
185.013535,10.68529,185.013535
185.286728,10.778756,185.286728
185.133682,10.872175,185.133682
185.152145,10.96544,185.152145
185.40564,11.058826,185.40564
185.401596,11.151875,185.401596
185.586502,11.245097,185.586502
185.578598,11.338015,185.578598
185.685181,11.43087,185.685181
186.019165,11.523701,186.019165
185.79303,11.616416,185.79303
185.886276,11.709097,185.886276
185.995804,11.801544,185.995804
185.725296,11.893928,185.725296
186.018982,11.986245,186.018982
186.100693,12.078604,186.100693
