"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-2.187143,0.0,-2.187143,,,,
-2.24685,1.2e-05,-2.24685,,,,
-2.274587,1.2e-05,-2.274587,,,,
-2.46097,1.2e-05,-2.46097,,,max true stress,145.830246
-2.371804,1.2e-05,-2.371804,,,,
-2.389838,1.2e-05,-2.389838,,,,
-2.299897,1.2e-05,-2.299897,,,,
-2.177224,0.0,-2.177224,,,,
-2.345705,1.2e-05,-2.345705,,,,
-2.141613,1.2e-05,-2.141613,,,,
-2.109838,0.0,-2.109838,,,,
1.572457,0.006163,1.572457,,,,
9.286046,0.02745,9.286046,,,,
16.024698,0.045921,16.024698,,,,
22.110294,0.067045,22.110294,,,,
27.945993,0.08733,27.945993,,,,
33.526268,0.106326,33.526268,,,,
38.639523,0.127115,38.639523,,,,
43.489971,0.14746,43.489971,,,,
48.085083,0.165826,48.085083,,,,
52.404522,0.187709,52.404522,,,,
56.446251,0.206103,56.446251,,,,
60.359539,0.22686,60.359539,,,,
64.112701,0.247268,64.112701,,,,
67.890205,0.266411,67.890205,,,,
70.795326,0.285694,70.795326,,,,
73.805603,0.306981,73.805603,,,,
76.499756,0.325662,76.499756,,,,
79.184608,0.346489,79.184608,,,,
81.577621,0.365898,81.577621,,,,
83.848282,0.386313,83.848282,,,,
86.112335,0.405953,86.112335,,,,
88.023697,0.425612,88.023697,,,,
89.591934,0.444911,89.591934,,,,
91.601402,0.466936,91.601402,,,,
93.214592,0.484649,93.214592,,,,
94.763756,0.505977,94.763756,,,,
96.403519,0.525047,96.403519,,,,
97.713936,0.545501,97.713936,,,,
99.037704,0.564754,99.037704,,,,
100.277718,0.585188,100.277718,,,,
101.342941,0.603686,101.342941,,,,
102.502258,0.625213,102.502258,,,,
103.89463,0.644687,103.89463,,,,
104.932312,0.664738,104.932312,,,,
105.848923,0.684595,105.848923,,,,
106.808128,0.704554,106.808128,,,,
107.71981,0.723563,107.71981,,,,
108.705544,0.744568,108.705544,,,,
109.46022,0.763191,109.46022,,,,
110.268974,0.783347,110.268974,,,,
111.112442,0.803477,111.112442,,,,
111.787926,0.822313,111.787926,,,,
112.581558,0.843888,112.581558,,,,
113.343079,0.862551,113.343079,,,,
114.206886,0.883515,114.206886,,,,
114.5746,0.902998,114.5746,,,,
115.276253,0.922855,115.276253,,,,
115.978142,0.94135,115.978142,,,,
116.588181,0.962498,116.588181,,,,
117.355415,0.981104,117.355415,,,,
117.75135,1.000981,117.75135,,,,
118.09893,1.021562,118.09893,,,,
118.695755,1.039968,118.695755,,,,
119.286659,1.061555,119.286659,,,,
119.764366,1.080614,119.764366,,,,
120.139046,1.099705,120.139046,,,,
120.79985,1.121279,120.79985,,,,
121.272423,1.139961,121.272423,,,,
121.426125,1.159123,121.426125,,,,
121.855591,1.180367,121.855591,,,,
122.382866,1.198873,122.382866,,,,
122.987778,1.218636,122.987778,,,,
123.209648,1.239502,123.209648,,,,
123.385002,1.257856,123.385002,,,,
124.078056,1.278443,124.078056,,,,
124.054428,1.298355,124.054428,,,,
124.630188,1.317004,124.630188,,,,
125.068581,1.337802,125.068581,,,,
125.320129,1.357138,125.320129,,,,
125.516891,1.376199,125.516891,,,,
125.924797,1.397185,125.924797,,,,
126.418152,1.416568,126.418152,,,,
126.562088,1.437111,126.562088,,,,
126.92614,1.456686,126.92614,,,,
127.043396,1.475012,127.043396,,,,
127.348839,1.495824,127.348839,,,,
127.708618,1.515341,127.708618,,,,
127.905617,1.534583,127.905617,,,,
