"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
-4.048466,0.0,-4.048466,,,
-4.181495,1.2e-05,-4.181495,,,
-4.294732,8.3e-05,-4.294732,,,
-4.340607,1.2e-05,-4.340607,,,149.793228
-4.578276,4.8e-05,-4.578276,,,
-4.620175,0.000107,-4.620175,,,
-4.780068,7.2e-05,-4.780068,,,
-4.790998,8.3e-05,-4.790998,,,
-4.969231,1.2e-05,-4.969231,,,
-4.738726,1.2e-05,-4.738726,,,
-4.600647,0.001955,-4.600647,,,
2.204443,0.015031,2.204443,,,
9.709715,0.03578,9.709715,,,
16.94269,0.056704,16.94269,,,
23.136698,0.075514,23.136698,,,
29.09734,0.096549,29.09734,,,
34.605259,0.1154,34.605259,,,
40.661015,0.136175,40.661015,,,
45.176243,0.156399,45.176243,,,
50.063221,0.17556,50.063221,,,
54.498302,0.195943,54.498302,,,
58.522297,0.216845,58.522297,,,
62.558693,0.235411,62.558693,,,
66.111153,0.2569,66.111153,,,
69.89669,0.276291,69.89669,,,
72.792526,0.295179,72.792526,,,
75.894295,0.316785,75.894295,,,
78.576157,0.335606,78.576157,,,
81.22155,0.355707,81.22155,,,
83.642097,0.376243,83.642097,,,
85.817642,0.396977,85.817642,,,
88.324066,0.414833,88.324066,,,
89.77282,0.436128,89.77282,,,
91.895744,0.455236,91.895744,,,
93.329048,0.4746,93.329048,,,
95.45195,0.495397,95.45195,,,
96.42881,0.514481,96.42881,,,
98.069321,0.535494,98.069321,,,
99.383362,0.554156,99.383362,,,
101.198563,0.574627,101.198563,,,
101.89566,0.594846,101.89566,,,
103.213837,0.614883,103.213837,,,
104.480659,0.633814,104.480659,,,
105.584961,0.654944,105.584961,,,
106.65773,0.674661,106.65773,,,
107.665489,0.693143,107.665489,,,
108.810043,0.714639,108.810043,,,
109.421364,0.733421,109.421364,,,
110.390076,0.754744,110.390076,,,
111.188957,0.77321,111.188957,,,
111.90638,0.793495,111.90638,,,
112.958443,0.813161,112.958443,,,
113.408005,0.833521,113.408005,,,
114.299156,0.851985,114.299156,,,
115.024124,0.872644,115.024124,,,
115.594933,0.891396,115.594933,,,
116.429306,0.912071,116.429306,,,
117.188782,0.932469,117.188782,,,
117.577332,0.951458,117.577332,,,
118.224182,0.970999,118.224182,,,
118.730324,0.991751,118.730324,,,
119.192451,1.011083,119.192451,,,
119.630928,1.032181,119.630928,,,
120.454163,1.051104,120.454163,,,
121.048775,1.070165,121.048775,,,
121.47789,1.091132,121.47789,,,
121.690636,1.111094,121.690636,,,
122.008492,1.128835,122.008492,,,
122.641197,1.150497,122.641197,,,
123.320221,1.169445,123.320221,,,
123.537849,1.189167,123.537849,,,
124.226517,1.208613,124.226517,,,
124.169159,1.228422,124.169159,,,
124.643608,1.248438,124.643608,,,
124.811699,1.268544,124.811699,,,
125.643456,1.28807,125.643456,,,
125.663918,1.308568,125.663918,,,
126.015938,1.326627,126.015938,,,
126.654602,1.347447,126.654602,,,
126.816071,1.368039,126.816071,,,
126.850906,1.386452,126.850906,,,
127.389076,1.406789,127.389076,,,
127.708473,1.425923,127.708473,,,
128.146133,1.445301,128.146133,,,
128.084579,1.465732,128.084579,,,
128.334854,1.486217,128.334854,,,
128.681396,1.503963,128.681396,,,
129.24292,1.525074,129.24292,,,
129.468323,1.54496,129.468323,,,
129.257996,1.5634,129.257996,,,
129.380737,1.584194,129.380737,,,
129.799927,1.60286,129.799927,,,
130.02449,1.623435,130.02449,,,
130.544785,1.642715,130.544785,,,
130.704803,1.661488,130.704803,,,
130.852158,1.682836,130.852158,,,
131.096069,1.701531,131.096069,,,
131.295334,1.720749,131.295334,,,
131.625,1.7413,131.625,,,
131.656189,1.76023,131.656189,,,
131.996109,1.78014,131.996109,,,
132.111893,1.800748,132.111893,,,
132.364853,1.818496,132.364853,,,
132.580292,1.838863,132.580292,,,
132.774597,1.858991,132.774597,,,
132.97525,1.877665,132.97525,,,
133.325012,1.897797,133.325012,,,
132.985916,1.917528,132.985916,,,
133.554672,1.93826,133.554672,,,
133.685013,1.957351,133.685013,,,
133.898804,1.976848,133.898804,,,
133.941528,1.996411,133.941528,,,
133.837479,2.016999,133.837479,,,
134.336929,2.035666,134.336929,,,
134.611374,2.05454,134.611374,,,
134.550369,2.075688,134.550369,,,
134.802124,2.093703,134.802124,,,
134.590408,2.114491,134.590408,,,
134.933472,2.133327,134.933472,,,
135.20842,2.15279,135.20842,,,
135.398651,2.172424,135.398651,,,
135.224091,2.192462,135.224091,,,
135.436691,2.210968,135.436691,,,
135.721512,2.231838,135.721512,,,
135.519241,2.250431,135.519241,,,
