"True Stress, MPa","True Strain, %"
-2.887478,0.0
-3.053706,0.0
-3.221339,0.0
-3.3414,7.2e-05
-3.328358,8.3e-05
-3.074739,4.8e-05
-3.139802,0.0
-3.145282,4.8e-05
-3.088825,4.8e-05
-3.552917,0.000119
-3.479435,3.6e-05
-3.295704,2.4e-05
-1.885947,0.000572
-1.338972,0.001252
-0.678549,0.003791
0.343414,0.004923
1.563039,0.008559
1.683253,0.010752
2.283775,0.012325
3.231098,0.013482
4.142805,0.014483
4.650799,0.016664
5.715161,0.021062
6.872211,0.022087
6.786026,0.024292
7.613176,0.025293
8.635894,0.026497
9.260319,0.030716
9.580918,0.032896
10.331242,0.03435
11.170595,0.037103
11.400616,0.03752
12.235635,0.039224
12.775334,0.042465
13.482281,0.045301
13.71284,0.047124
14.528959,0.049055
15.455671,0.049936
15.762626,0.051402
16.154453,0.053213
17.011381,0.057335
17.60574,0.058693
17.595524,0.060802
18.567251,0.061672
19.358404,0.062982
19.316381,0.065115
19.755352,0.067795
20.652023,0.070356
21.353111,0.073311
21.454321,0.07393
22.085823,0.075336
22.922398,0.077123
23.084913,0.081589
23.046314,0.0829
23.968307,0.085579
24.596254,0.086401
24.790125,0.087616
25.058628,0.089867
25.922752,0.093095
26.205601,0.095084
26.531944,0.097335
27.036192,0.098216
27.835531,0.098835
27.609726,0.101253
28.125994,0.102622
29.098269,0.106433
28.906799,0.108731
29.411684,0.110053
29.955406,0.111339
30.55257,0.112506
30.799065,0.114256
31.23489,0.118424
32.044659,0.119769
32.042587,0.122103
32.3354,0.123365
33.397774,0.124901
33.572266,0.129937
33.448761,0.131092
34.03101,0.132699
34.815163,0.134925
34.799019,0.135271
35.111439,0.137366
35.761608,0.139342
36.371132,0.143008
36.157997,0.144556
36.625374,0.14633
37.391197,0.147663
37.558662,0.148591
37.687531,0.150793
38.043522,0.154816
38.760288,0.156423
38.962826,0.158375
38.980328,0.159304
39.94698,0.16047
39.836765,0.164314
40.056107,0.166885
40.588432,0.16823
41.187576,0.17086
41.01585,0.171621
41.176991,0.173406
42.05901,0.176834
42.217979,0.179333
42.554497,0.181046
42.866592,0.183247
43.618809,0.183842
43.0728,0.185473
43.376167,0.187317
44.19714,0.191338
44.008896,0.192326
44.142353,0.194729
44.59433,0.195741
45.454182,0.196835
45.255104,0.198953
45.288422,0.20019
46.136082,0.204426
46.174881,0.20621
46.436642,0.207649
46.608982,0.208673
47.371559,0.21035
46.896137,0.212812
47.623009,0.215822
47.779713,0.217225
48.156624,0.22033
48.203869,0.220413
48.676125,0.222507
49.247391,0.227788
48.939747,0.228834
49.108742,0.230607
49.829464,0.232438
49.964653,0.23289
