"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4
-4.215827,0.0,-4.215827,,
-4.340892,0.000525,-4.340892,,
-4.169679,0.000393,-4.169679,,
-4.567766,0.000143,-4.567766,,217.611374
-4.174748,0.0,-4.174748,,
-5.079852,0.0,-5.079852,,
-4.508826,0.0,-4.508826,,
-4.814144,0.0,-4.814144,,
-4.303754,0.000203,-4.303754,,
-4.304141,0.0,-4.304141,,
-4.079685,9.5e-05,-4.079685,,
-4.252955,0.000155,-4.252955,,
-3.617326,0.000429,-3.617326,,
-3.990449,0.000393,-3.990449,,
-3.59074,0.000393,-3.59074,,
-4.294128,0.000393,-4.294128,,
-4.034938,0.000215,-4.034938,,
-4.452351,0.0,-4.452351,,
-4.175567,0.0,-4.175567,,
-4.237693,0.0,-4.237693,,
-3.854372,0.0,-3.854372,,
-4.432574,0.0,-4.432574,,
-4.187292,0.0,-4.187292,,
-4.390766,8.3e-05,-4.390766,,
-3.856085,0.000477,-3.856085,,
-4.20166,0.000393,-4.20166,,
-4.159933,0.000393,-4.159933,,
-4.417249,0.000346,-4.417249,,
-4.600475,0.0,-4.600475,,
-4.204486,0.000405,-4.204486,,
-4.227736,0.000393,-4.227736,,
-4.106084,0.000393,-4.106084,,
-4.062684,0.000274,-4.062684,,
-4.05383,0.0,-4.05383,,
-4.168928,0.0,-4.168928,,
-4.590163,0.0,-4.590163,,
-4.560527,0.0,-4.560527,,
-4.612171,0.0,-4.612171,,
-4.634349,0.0,-4.634349,,
-3.898021,0.0,-3.898021,,
-4.524309,0.0,-4.524309,,
-4.261397,0.0,-4.261397,,
-4.835814,0.0,-4.835814,,
-3.845445,0.0,-3.845445,,
-4.129912,0.0,-4.129912,,
-3.955344,0.0,-3.955344,,
-3.840189,0.0,-3.840189,,
-3.433674,0.0,-3.433674,,
-3.552998,0.000453,-3.552998,,
-3.948381,0.000393,-3.948381,,
-4.047177,0.000393,-4.047177,,
-3.481207,0.000393,-3.481207,,
-3.907331,0.000393,-3.907331,,
-3.906709,0.000393,-3.906709,,
-4.915269,0.000226,-4.915269,,
-4.604148,0.0,-4.604148,,
-4.519336,0.0,-4.519336,,
-4.058266,0.0,-4.058266,,
-4.762331,0.0,-4.762331,,
-5.278265,0.0,-5.278265,,
-4.623133,0.0,-4.623133,,
-4.418873,0.0,-4.418873,,
-4.436643,0.0,-4.436643,,
-4.535185,0.0,-4.535185,,
-4.054238,0.000298,-4.054238,,
-4.155949,0.000393,-4.155949,,
-4.08224,0.000393,-4.08224,,
-4.418777,0.000393,-4.418777,,
-3.814439,0.000393,-3.814439,,
-4.461369,0.000155,-4.461369,,
-3.652174,0.0,-3.652174,,
-4.054536,0.0,-4.054536,,
-3.691754,0.0,-3.691754,,
-4.601747,0.0,-4.601747,,
-4.058662,0.0,-4.058662,,
