"True Stress, MPa","True Strain, %"
-28.841547,0.0
-28.165489,3.1e-05
-27.769022,0.000188
-27.817757,8.5e-05
-26.521141,6.4e-05
-26.385187,0.0
-26.117405,0.000142
-25.478046,3.1e-05
-25.118217,4.8e-05
-42.537018,0.000113
-43.303772,0.00027
-47.399109,0.000213
-31.286905,0.00027
-38.998356,7.9e-05
-39.919884,0.0
-39.512436,1.5e-05
-38.993748,0.000201
-38.501293,1.5e-05
-37.099041,0.000142
-28.383551,0.027694
4.345683,0.128279
34.333279,0.231842
59.095608,0.336468
77.660278,0.440376
91.619659,0.543901
102.113358,0.647369
110.297745,0.750693
117.48246,0.85395
123.371033,0.957188
128.544556,1.060259
132.918793,1.163154
136.800476,1.266007
140.120392,1.36868
142.991547,1.471413
145.678955,1.573867
147.780563,1.676282
149.778107,1.77859
151.54953,1.88073
132.601944,1.982974
139.226913,2.084944
136.656998,2.18695
153.80722,2.288711
141.90506,2.390343
139.941727,2.492037
139.96434,2.593524
140.552307,2.694746
141.402542,2.796124
142.033722,2.897399
142.814194,2.998398
143.933884,3.099475
144.429962,3.200256
145.435638,3.301072
146.260529,3.401753
146.902954,3.502279
147.663818,3.602754
148.30423,3.703029
148.944962,3.803344
149.731979,3.903444
150.234802,4.003479
151.108475,4.103422
151.743729,4.203259
152.354279,4.302981
152.844788,4.402804
153.289185,4.502288
154.157318,4.601723
154.709259,4.701091
155.196625,4.800421
131.980316,4.899715
139.229095,4.998916
137.958115,5.097835
150.541901,5.19674
138.78653,5.295442
136.87825,5.394171
136.49762,5.492659
136.638565,5.591095
137.106888,5.689525
137.746262,5.787665
138.335999,5.885926
138.795013,5.984013
139.437653,6.082148
140.258575,6.179938
140.768158,6.277789
141.57164,6.375573
141.832001,6.47324
142.531387,6.570689
143.035355,6.668176
143.639709,6.76555
144.181107,6.862772
144.625717,6.959987
145.536591,7.057054
145.891968,7.153941
146.53511,7.250836
147.064621,7.347649
147.573853,7.44434
148.292068,7.540892
142.823181,7.637373
128.055344,7.733744
131.144302,7.830081
135.435623,7.926305
137.769135,8.022428
130.227768,8.118471
128.619904,8.214343
128.295746,8.310172
128.487442,8.405904
129.114151,8.501633
129.568542,8.597195
130.080307,8.692613
130.723282,8.788087
131.544708,8.883325
132.306717,8.978623
133.237839,9.073592
133.760162,9.168757
134.300186,9.263536
135.199173,9.358525
135.56488,9.453214
136.23587,9.547928
136.651199,9.642413
137.230484,9.736944
137.956985,9.831315
