Time_s,Load_kN,Extensometer_mm,COD_mm,Displacement_mm,SP-Actuator_mm,SV-Actuator_,CY-Actuator_,Stress_MPa,Strain_%,True Stress_MPa,True Strain_%,
0.104098,-0.059682,0.000001,4.130698,0.000000,9.960999,9.960999,0.000000,-8.649515,0.000000,-8.649515,0.000000,
0.208197,-0.063368,0.000000,4.130712,0.000035,9.960999,9.960999,0.000000,-9.183709,0.000110,-9.183720,0.000110,
0.312295,-0.059304,0.000045,4.130682,0.000015,9.960999,9.960999,0.000000,-8.594748,0.000048,-8.594751,0.000048,
0.416393,-0.058700,-0.000000,4.130692,0.000036,9.960999,9.960999,0.000000,-8.507221,0.000113,-8.507231,0.000113,
0.520492,-0.058667,0.000000,4.130698,0.000026,9.960999,9.960999,0.000000,-8.502393,0.000080,-8.502399,0.000080,
0.624590,-0.057643,0.000010,4.130701,0.000021,9.960999,9.960999,0.000000,-8.354066,0.000066,-8.354072,0.000066,
0.728689,-0.058580,-0.000010,4.130703,0.000022,9.960999,9.960999,0.000000,-8.489887,0.000069,-8.489893,0.000069,
0.832787,-0.058508,0.000047,4.130684,0.000032,9.960999,9.960999,0.000000,-8.479355,0.000101,-8.479363,0.000101,
0.936885,-0.058629,0.000054,4.130701,0.000034,9.960999,9.960999,0.000000,-8.496973,0.000107,-8.496983,0.000107,
1.040984,-0.057469,0.000056,4.130676,0.000010,9.960999,9.960999,0.000000,-8.328829,0.000033,-8.328832,0.000033,
1.145082,-0.059620,0.000051,4.130664,0.000047,9.960999,9.960999,0.000000,-8.640516,0.000146,-8.640529,0.000146,
1.249180,-0.057427,0.000053,4.130634,0.000047,9.960999,9.960999,0.000000,-8.322689,0.000146,-8.322701,0.000146,
1.353279,-0.057751,0.000047,4.130644,0.000015,9.960999,9.960999,0.000000,-8.369774,0.000048,-8.369778,0.000048,
1.457377,-0.059460,0.000052,4.130656,0.000051,9.960999,9.960999,0.000000,-8.617330,0.000161,-8.617344,0.000161,
1.561475,-0.057823,0.000064,4.130636,0.000011,9.960999,9.960999,0.000000,-8.380120,0.000036,-8.380123,0.000036,
1.665574,-0.057321,0.000042,4.130646,0.000054,9.960999,9.960999,0.000000,-8.307464,0.000170,-8.307478,0.000170,
1.769672,-0.058094,0.000102,4.130618,0.000036,9.960999,9.960999,0.000000,-8.419491,0.000113,-8.419500,0.000113,
1.873770,-0.056857,0.000118,4.130578,0.000020,9.960999,9.960999,0.000000,-8.240150,0.000063,-8.240155,0.000063,
1.977869,-0.057402,0.000108,4.130610,0.000035,9.960999,9.960999,0.000000,-8.319196,0.000110,-8.319205,0.000110,
2.081967,-0.058195,0.000056,4.130629,0.000031,9.960999,9.960999,0.000000,-8.433988,0.000095,-8.433995,0.000095,
2.186065,0.020972,0.000033,4.130659,0.011509,9.989900,9.989900,0.000000,3.039393,0.035965,3.040487,0.035959,
2.290164,0.247966,0.000032,4.130659,0.044156,10.023000,10.023000,0.000000,35.937160,0.137988,35.986748,0.137893,
2.394262,0.441166,-0.000008,4.130692,0.077669,10.056399,10.056399,0.000000,63.937111,0.242716,64.092293,0.242422,
2.498360,0.592674,0.000013,4.130690,0.111176,10.089800,10.089800,0.000000,85.894737,0.347424,86.193153,0.346821,
2.602458,0.705744,0.000013,4.130676,0.144512,10.122900,10.122900,0.000000,102.281731,0.451601,102.743637,0.450584,
2.706557,0.787396,0.000041,4.130650,0.177814,10.156300,10.156300,0.000000,114.115433,0.555670,114.749535,0.554132,
2.810655,0.850524,0.000030,4.130654,0.211084,10.189799,10.189799,0.000000,123.264389,0.659639,124.077492,0.657473,
2.914753,0.900371,0.000010,4.130680,0.244406,10.223200,10.223200,0.000000,130.488586,0.763768,131.485214,0.760866,
3.018852,0.943068,0.000036,4.130645,0.277705,10.256300,10.256300,0.000000,136.676483,0.867829,137.862595,0.864085,
3.122950,0.977927,0.000062,4.130642,0.310992,10.289700,10.289700,0.000000,141.728546,0.971851,143.105942,0.967159,
3.227048,1.007682,0.000052,4.130632,0.344328,10.323100,10.323100,0.000000,146.040833,1.076025,147.612274,1.070277,
3.331147,1.031902,0.000096,4.130600,0.377653,10.356199,10.356199,0.000000,149.551041,1.180166,151.315994,1.173256,
3.435245,1.054171,0.000076,4.130613,0.410947,10.389600,10.389600,0.000000,152.778473,1.284209,154.740463,1.276033,
3.539343,1.071779,0.000060,4.130619,0.444237,10.422999,10.422999,0.000000,155.330322,1.388240,157.486679,1.378692,
3.643442,1.087105,0.000064,4.130634,0.477518,10.456100,10.456100,0.000000,157.551422,1.492244,159.902481,1.481220,
3.747540,1.100865,0.000034,4.130661,0.510859,10.489500,10.489500,0.000000,159.545670,1.596436,162.092712,1.583827,
3.851638,1.111025,-0.000009,4.130685,0.544207,10.522900,10.522900,0.000000,161.018173,1.700646,163.756516,1.686347,
3.955737,1.120586,0.000052,4.130628,0.577516,10.556000,10.556000,0.000000,162.403732,1.804736,165.334686,1.788644,
4.059835,1.127588,-0.000033,4.130712,0.610794,10.589399,10.589399,0.000000,163.418533,1.908731,166.537750,1.890744,
